LSOA21CD,wellbeing_score
E01000248,5.3
E01000249,5.5
E01000250,5.7
E01000251,5.5
E01000252,6.8
E01000253,5.5
E01000254,6.2
E01000255,5.0
E01000256,8.1
E01000257,5.9
E01000258,6.3
E01000259,6.8
E01000260,8.1
E01000261,6.2
E01000263,8.2
E01000264,6.5
E01000265,6.6
E01000266,6.6
E01000267,4.6
E01000268,6.3
E01000269,5.2
E01000270,4.5
E01000271,7.7
E01000272,5.2
E01000273,6.4
E01000274,7.4
E01000275,6.7
E01000276,5.8
E01000277,6.6
E01000278,6.7
E01000279,7.6
E01000280,4.9
E01000281,6.7
E01000282,5.5
E01000283,5.6
E01000284,7.6
E01000285,6.5
E01000286,6.7
E01000287,7.5
E01000288,8.1
E01000289,6.3
E01000290,7.0
E01000291,6.5
E01000292,6.5
E01000293,7.3
E01000294,6.3
E01000295,6.6
E01000296,6.4
E01000297,8.3
E01000298,7.3
E01000299,8.0
E01000300,8.3
E01000301,5.5
E01000302,6.7
E01000303,8.3
E01000304,7.9
E01000305,5.0
E01000306,5.0
E01000307,6.3
E01000308,4.8
E01000309,5.5
E01000310,4.8
E01000311,7.2
E01000312,7.6
E01000313,8.1
E01000314,5.1
E01000315,7.4
E01000316,7.1
E01000317,5.1
E01000318,8.0
E01000319,8.4
E01000320,5.4
E01000321,8.3
E01000322,6.1
E01000323,6.4
E01000324,8.5
E01000325,7.8
E01000326,5.1
E01000327,6.2
E01000328,6.6
E01000329,5.9
E01000330,5.3
E01000331,5.8
E01000332,7.4
E01000333,4.6
E01000334,6.7
E01000335,6.3
E01000336,4.6
E01000337,5.8
E01000338,7.0
E01000339,6.5
E01000340,4.8
E01000341,8.4
E01000342,7.7
E01000343,8.4
E01000344,4.9
E01000345,5.6
E01000346,4.7
E01000347,7.6
E01000348,5.6
E01000349,5.0
E01000350,6.2
E01000351,8.1
E01000352,7.8
E01000353,5.5
E01000354,5.1
E01000355,8.2
E01000356,6.8
E01000357,7.3
E01000358,4.9
E01000359,4.7
E01000360,7.3
E01000361,6.2
E01000362,4.8
E01000363,8.3
E01000364,7.0
E01000365,7.7
E01000366,4.8
E01000367,7.9
E01000368,4.8
E01000369,8.0
E01000370,6.3
E01000371,5.9
E01000372,6.7
E01000373,8.2
E01000374,5.6
E01000375,5.0
E01000376,6.6
E01000377,5.5
E01000379,4.9
E01000380,5.1
E01000381,4.7
E01000382,5.3
E01000383,5.7
E01000384,5.7
E01000385,7.5
E01000386,5.7
E01000387,6.5
E01000388,5.2
E01000389,5.9
E01000390,4.6
E01000391,5.5
E01000392,4.6
E01000393,7.4
E01000394,6.7
E01000395,5.3
E01000396,6.4
E01000398,8.2
E01000399,4.9
E01000400,7.8
E01000401,6.2
E01000402,6.5
E01000403,7.8
E01000404,6.1
E01000405,6.5
E01000406,7.3
E01000407,8.4
E01000408,5.9
E01000409,7.8
E01000410,7.3
E01000411,7.0
E01000412,6.1
E01000413,5.9
E01000414,4.7
E01000415,5.0
